"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"TBC1D12"	0.1086511	0.8799551	"DGN-WB_exp"	"0.06569146775-0.1776055"	"0.2697145-0.9956349"
"HSPA14"	0.018754235	0.12141725	"DGN-WB_exp"	"0.001049173575-0.0563015495"	"0-0.924113445"
"MXI1"	0.05252046	0.88245195	"DGN-WB_exp"	"0.0249688945-0.0919410525"	"0.476725385-0.99579483"
"AP3M1"	0.1576822	0.9639745	"DGN-WB_exp"	"0.1091797-0.2178023025"	"0.61322312-0.9984011"
"NUDT13"	0.29721655	0.9729403	"DGN-WB_exp"	"0.2071773825-0.38905821"	"0.7214649975-0.9988877"
"ZNF248"	0.07188481	0.4525249	"DGN-WB_exp"	"0.0342897-0.16714795"	"0-0.969903195"
"DNA2"	0.1191639	0.9337246	"DGN-WB_exp"	"0.07837476-0.1699991"	"0.745335585-0.9964839"
"GLRX3"	0.094649505	0.930907	"DGN-WB_exp"	"0.05840536-0.1373113"	"0.748890595-0.9962429425"
"GRK5"	0.1926196	0.87851835	"DGN-WB_exp"	"0.1366124925-0.26551738"	"0.591559785-0.9941530725"
"TCTN3"	0.21322225	0.97008545	"DGN-WB_exp"	"0.163257415-0.2746422"	"0.86625021-0.9992291"
"ABI1"	0.04528254	0.4380847	"DGN-WB_exp"	"0.014858199-0.0939403437499999"	"0.006823884725-0.9665829075"
"RNLS"	0.0482851	0.85511	"DGN-WB_exp"	"0.02122467225-0.0879558737499998"	"0.3469724-0.9940758425"
"KCNMA1"	0.5559138	0.9731519	"DGN-WB_exp"	"0.5194582-0.6045665"	"0.9322892-0.9956402"
"NET1"	0.10960065	0.9356774	"DGN-WB_exp"	"0.06798308-0.1584141075"	"0.6764044975-0.99745023"
"RGS10"	0.1110843	0.948053	"DGN-WB_exp"	"0.0698467305-0.1516806"	"0.7862053625-0.9973836"
"PLAU"	0.20781775	0.95156	"DGN-WB_exp"	"0.1455948625-0.294298665"	"0.7301411075-0.9978516"
"CUEDC2"	0.0070497065	0.22690685	"DGN-WB_exp"	"0.000363842505-0.0307547345"	"0-0.9636427"
"NSUN6"	0.4213181	0.979289	"DGN-WB_exp"	"0.370078-0.4846138"	"0.9192717625-0.999021315"
"DNAJB12"	0.197947	0.9799261	"DGN-WB_exp"	"0.1500615-0.2606314"	"0.90570989-0.9990148"
"PSD"	0.04393326	0.50077015	"DGN-WB_exp"	"0.01285335325-0.1152586325"	"0.03149920325-0.9669823925"
"AVPI1"	0.09921248	0.8450271	"DGN-WB_exp"	"0.06115530675-0.15025906"	"0.5484647125-0.991383"
"ARHGAP22"	0.5053459	0.9862096	"DGN-WB_exp"	"0.4569759-0.5479771475"	"0.9509953-0.9994015"
"ARHGAP21"	0.07521954	0.5983746	"DGN-WB_exp"	"0.03661226325-0.134799155"	"0.0218875925-0.9827154025"
"PWWP2B"	0.028544115	0.52680285	"DGN-WB_exp"	"0.00520024-0.0683008525"	"0-0.9821423025"
"ZNF365"	0.103469	0.85605	"DGN-WB_exp"	"0.061859494-0.1598718275"	"0.4220297-0.99108927"
"PRF1"	0.02162598	0.48330835	"DGN-WB_exp"	"0.0013326866-0.0610592155"	"0.01146806425-0.96873271"
"ALDH18A1"	0.09473821	0.74517995	"DGN-WB_exp"	"0.05464101525-0.1559052875"	"0.04356361625-0.9887155375"
"UBE2D1"	0.5087642	0.9902016	"DGN-WB_exp"	"0.4649469-0.55240193"	"0.9632447525-0.9995374"
"ACBD7"	0.1756993	0.9633809	"DGN-WB_exp"	"0.13236062-0.2233860825"	"0.83036622-0.9987009325"
"ACBD5"	0.008259732	0.5349408	"DGN-WB_exp"	"0.0003012823-0.0384558299999999"	"0.0256903-0.9709606"
"MRPL43"	0.4137341	0.9890966	"DGN-WB_exp"	"0.3523756-0.4718811"	"0.94784724-0.9993992"
"CCDC3"	0.4649856	0.9269226	"DGN-WB_exp"	"0.4191372-0.5179066"	"0.86707-0.9809887125"
"CCDC6"	0.04887697	0.68486685	"DGN-WB_exp"	"0.0196627525-0.09172186675"	"0-0.98898181"
"CCDC7"	0.0085882705	0.5099814	"DGN-WB_exp"	"0.000413908-0.03898370875"	"0.02658866-0.970232139999999"
"C10orf11"	0.35089555	0.9631426	"DGN-WB_exp"	"0.2974955-0.3987332"	"0.8888732-0.99522215"
"PSAP"	0.1421973	0.9350744	"DGN-WB_exp"	"0.09731989125-0.20268424"	"0.773233865-0.9966809425"
"TM9SF3"	0.004337524	0.3313726	"DGN-WB_exp"	"0.0001546368-0.0237862935"	"0-0.96567686"
